,2020_NI,2021_NI,2022_NI,2023_NI,2024_NI
CDZI,-37817000.0,-31249000.0,-24792000.0,-31446000.0,
CE,1985000000.0,1890000000.0,1894000000.0,1960000000.0,
CEI,-61991734.0,-14485847.0,-15427329.0,-32649965.0,
CEIX,-9755000.0,34110000.0,466979000.0,655892000.0,
CELC,-9474175.0,-29605266.0,-40370040.0,-63779116.0,
CELH,8524000.0,3937000.0,-187282000.0,226801000.0,
CENT,120676000.0,151746000.0,152152000.0,125643000.0,
CENTA,120676000.0,151746000.0,152152000.0,125643000.0,
CENX,-123300000.0,-167100000.0,-14100000.0,-43100000.0,
CERS,-59857000.0,-54374000.0,-42779000.0,-37489000.0,
CETX,-10470081.0,-7807995.0,-13020958.0,-9196875.0,
CEVA,-2379000.0,396000.0,-23183000.0,-11878000.0,
CF,317000000.0,917000000.0,3346000000.0,1525000000.0,
CFBK,29608000.0,18453000.0,18164000.0,16937000.0,
CFFI,22117000.0,28667000.0,29159000.0,23604000.0,
CFFN,64540000.0,76082000.0,84453000.0,-101659000.0,
CFG,1057000000.0,2319000000.0,2073000000.0,1608000000.0,
CFR,331151000.0,443079000.0,579150000.0,597973000.0,
CGNX,176186000.0,279881000.0,215525000.0,113234000.0,
CHCI,2082000.0,13609000.0,7347000.0,7784000.0,
CHCO,89595000.0,88080000.0,102071000.0,114365000.0,
CHCT,19077000.0,22492000.0,22019000.0,7714000.0,
CHD,785900000.0,827500000.0,413900000.0,755600000.0,
CHDN,-81900000.0,249100000.0,439400000.0,417300000.0,
CHE,319466000.0,268550000.0,249624000.0,272509000.0,
CHEF,-82903000.0,-4923000.0,27750000.0,34590000.0,
CHGG,-6221000.0,-1458000.0,266638000.0,18180000.0,
CHH,75387000.0,288957000.0,332152000.0,258507000.0,
CHK,-9734000000.0,,4936000000.0,2419000000.0,
CHMG,19262000.0,26425000.0,28783000.0,25000000.0,
CHMI,-52239000.0,12283000.0,21739000.0,-34794000.0,
CHRS,132244000.0,-287100000.0,-291754000.0,-237892000.0,
CHRW,506421000.0,844245000.0,940524000.0,325129000.0,
CHTR,3222000000.0,4654000000.0,5055000000.0,4557000000.0,
CHUY,-3294000.0,30176000.0,20855000.0,31510000.0,
CI,8458000000.0,5370000000.0,6704000000.0,5164000000.0,
CIA,-10988000.0,72706000.0,26007000.0,24437000.0,
CIEN,361291000.0,500196000.0,152902000.0,254827000.0,
CIM,88854000.0,670114000.0,-513066000.0,126104000.0,
CINF,1216000000.0,2968000000.0,-487000000.0,1843000000.0,
CIO,4527000.0,484395000.0,16990000.0,-2682000.0,
CIVB,32192000.0,40546000.0,39427000.0,42964000.0,
CIX,10323000.0,16568000.0,20871000.0,22593000.0,
CIZN,6931000.0,7494000.0,9620000.0,1854000.0,
CKX,339383.0,819349.0,-1317718.0,142961.0,
CL,2695000000.0,2166000000.0,1785000000.0,2300000000.0,
CLAR,5545000.0,26093000.0,-69780000.0,-10146000.0,
CLB,-97637000.0,19727000.0,19453000.0,,
CLDT,-76023000.0,-18410000.0,9805000.0,2644000.0,
CLDX,-59780000.0,-70511000.0,-112325000.0,-141429000.0,
CLF,-122000000.0,2988000000.0,1335000000.0,399000000.0,
CLFD,7293000.0,20327000.0,49362000.0,32533000.0,
CLH,134837000.0,203247000.0,411744000.0,377856000.0,
CLIR,-6884000.0,-7891000.0,-5758000.0,,
CLNE,-9864000.0,-93146000.0,-58733000.0,-99497000.0,
CLPR,-4906000.0,-7587000.0,-4764000.0,-5900000.0,
CLRB,-15094172.0,-24122362.0,-28601254.0,-37983496.0,
CLRO,505000.0,-7694000.0,20556000.0,,
CLW,77100000.0,-28100000.0,46000000.0,107700000.0,
CLX,939000000.0,710000000.0,462000000.0,149000000.0,
CMA,497000000.0,1168000000.0,1151000000.0,881000000.0,
CMC,279503000.0,412865000.0,1217262000.0,859760000.0,
CMCO,,9106000.0,29660000.0,48429000.0,
CMCSA,10534000000.0,14159000000.0,5370000000.0,15388000000.0,
CMCT,-15016000.0,-850000.0,5918000.0,-48485000.0,
CME,2105200000.0,2636400000.0,2691000000.0,3226200000.0,
CMG,355766000.0,652984000.0,899101000.0,1228737000.0,
CMI,1789000000.0,2131000000.0,2151000000.0,735000000.0,
CMP,63100000.0,-213300000.0,-25100000.0,15500000.0,
CMRX,-43522000.0,-173236000.0,172167000.0,-82095000.0,
CMS,755000000.0,1353000000.0,837000000.0,887000000.0,
CMT,8165000.0,4671000.0,12203000.0,20324000.0,
CMTL,7020000.0,-73480000.0,-33052000.0,-26899000.0,
CNA,690000000.0,1184000000.0,682000000.0,1205000000.0,
CNC,1808000000.0,1347000000.0,1202000000.0,2702000000.0,
CNDT,-118000000.0,-28000000.0,-182000000.0,-296000000.0,
CNFR,595000.0,-1094000.0,-10681000.0,-25904000.0,
CNK,-616800000.0,-422800000.0,-271200000.0,188200000.0,
CNMD,9517000.0,62542000.0,-80582000.0,64459000.0,
CNNE,1786200000.0,-287000000.0,-428100000.0,-313400000.0,
CNO,301800000.0,570300000.0,630600000.0,276500000.0,
CNOB,71289000.0,130353000.0,125211000.0,87003000.0,
CNP,-773000000.0,1486000000.0,1057000000.0,917000000.0,
CNS,76584000.0,211396000.0,171042000.0,129049000.0,
CNSL,36977000.0,-107085000.0,140085000.0,-250514000.0,
CNTY,-48002000.0,20622000.0,7976000.0,-28198000.0,
CNX,-483775000.0,-498643000.0,-142077000.0,1720716000.0,
CNXN,55765000.0,69906000.0,89219000.0,83271000.0,
CODA,3343585.0,4947765.0,4301221.0,3124149.0,
COF,2714000000.0,12390000000.0,7360000000.0,4887000000.0,
COHN,14205000.0,11808000.0,-13389000.0,-5113000.0,
COHR,-67029000.0,297552000.0,234759000.0,-259458000.0,
COHU,-13801000.0,167325000.0,96847000.0,28156000.0,
COKE,172493000.0,189580000.0,430158000.0,408375000.0,
COLB,-1523420000.0,420300000.0,336752000.0,348715000.0,
COLD,24540000.0,-30455000.0,-19440000.0,-336215000.0,
COLL,26752000.0,71517000.0,-25002000.0,48155000.0,
COLM,108013000.0,354108000.0,311440000.0,251400000.0,
COMM,-573400000.0,-462600000.0,-1286900000.0,-1450900000.0,
CONN,,-3137000.0,108205000.0,-59292000.0,-76893000.0
COO,238400000.0,2944700000.0,385800000.0,294200000.0,
COOP,305000000.0,1454000000.0,923000000.0,500000000.0,
COP,-2701000000.0,8079000000.0,18680000000.0,10957000000.0,
COR,-3408716000.0,1539932000.0,1698820000.0,1745293000.0,
CORT,106011000.0,112512000.0,101418000.0,106140000.0,
COST,4002000000.0,5007000000.0,5844000000.0,6292000000.0,
COTY,-1006700000.0,-201300000.0,259500000.0,508200000.0,
CPB,1628000000.0,1002000000.0,757000000.0,858000000.0,
CPE,-2533621000.0,133561000.0,1019443000.0,401201000.0,
CPF,37273000.0,79894000.0,73928000.0,58669000.0,
CPHC,1062014.0,11798153.0,7512946.0,10563249.0,
CPIX,-3339408.0,-3507587.0,-5570241.0,-6279320.0,
CPK,71498000.0,83466000.0,89796000.0,87212000.0,
CPRI,,-62000000.0,822000000.0,616000000.0,
CPRT,699907000.0,936495000.0,1090130000.0,1237741000.0,
CPRX,74983000.0,39482000.0,83079000.0,71410000.0,
CPS,-267605000.0,-322835000.0,-215384000.0,-201985000.0,
CPSH,908064.0,3215877.0,2131400.0,1370296.0,
CPSI,14246000.0,18430000.0,15867000.0,-45789000.0,
CPSS,21677000.0,47524000.0,85983000.0,45343000.0,
CPT,123911000.0,303907000.0,653613000.0,403309000.0,
CR,181000000.0,435400000.0,401100000.0,255900000.0,
CRAI,24507000.0,41679000.0,43619000.0,38481000.0,
CRBP,-111269380.0,-45640426.0,-42346903.0,-44603316.0,
CRC,0,612000000.0,524000000.0,564000000.0,
CRI,109717000.0,339748000.0,250038000.0,232500000.0,
CRIS,-29908000.0,-45436000.0,-56672000.0,-47413000.0,
CRK,-52417000.0,-241725000.0,1140882000.0,211894000.0,
CRL,364304000.0,390982000.0,486226000.0,474624000.0,
CRM,,4072000000.0,1444000000.0,208000000.0,4136000000.0
CRMD,-22027683.0,-28210226.0,-29701705.0,-46339227.0,
CRMT,,104820000.0,95014000.0,20432000.0,
CRNX,-73812000.0,-107641000.0,-163918000.0,-214529000.0,
CROX,312861000.0,725694000.0,540159000.0,792566000.0,
CRS,1500000.0,-229600000.0,-49100000.0,56400000.0,
CRUS,,217344000.0,326355000.0,176703000.0,
CRVL,,46356000.0,66410000.0,66365000.0,
CRVS,-5995000.0,-43241000.0,-41307000.0,-27029000.0,
CRWS,,6081000.0,9918000.0,5650000.0,
CSCO,11214000000.0,10591000000.0,11812000000.0,12613000000.0,
CSGP,227128000.0,292600000.0,369500000.0,374700000.0,
CSGS,58711000.0,72331000.0,44060000.0,66246000.0,
CSL,320100000.0,421700000.0,924000000.0,767400000.0,
CSPI,-1446000.0,699000.0,1889000.0,5204000.0,
CSTR,24696000.0,48677000.0,39017000.0,29804000.0,
CSV,16090000.0,33159000.0,41381000.0,33413000.0,
CSWI,,40099000.0,66385000.0,96435000.0,
CSX,2765000000.0,3781000000.0,4166000000.0,3715000000.0,
CTAS,876037000.0,1110968000.0,1235757000.0,1348010000.0,
CTBI,59504000.0,87939000.0,81814000.0,78004000.0,
CTHR,-6162083.0,12810766.0,2373915.0,-19580794.0,
CTLT,221000000.0,585000000.0,499000000.0,-256000000.0,
CTMX,-64820000.0,-115870000.0,-99317000.0,-569000.0,
CTO,78509000.0,29940000.0,3158000.0,5530000.0,
CTRE,80867000.0,71982000.0,-7506000.0,53735000.0,
CTRN,,23978000.0,62240000.0,58892000.0,-11979000.0
CTS,34686000.0,-41866000.0,59575000.0,60532000.0,
CTSH,1392000000.0,2137000000.0,2290000000.0,2126000000.0,
CTSO,-7837188.0,-24558648.0,-32812583.0,-28507394.0,
CUBE,165621000.0,223482000.0,291263000.0,410757000.0,
CUBI,132578000.0,314647000.0,228034000.0,250143000.0,
CUE,-44784921.0,-44161175.0,-53010000.0,-50733000.0,
CULP,,3218000.0,-3211000.0,-31520000.0,
CURO,75733000.0,59334000.0,-185484000.0,,
CUTR,-23877000.0,2062000.0,-82340000.0,,
CUZ,237278000.0,278586000.0,166793000.0,82963000.0,
CVBF,177159000.0,212521000.0,235425000.0,221435000.0,
CVCO,,76646000.0,197699000.0,240554000.0,
CVCY,20347000.0,28401000.0,26645000.0,25536000.0,
CVGI,-37049000.0,23732000.0,-21971000.0,49411000.0,
CVGW,-13625000.0,-11818000.0,-6249000.0,-8344000.0,
CVI,-256000000.0,25000000.0,463000000.0,769000000.0,
CVLT,,-30954000.0,33624000.0,-35774000.0,
CVLY,8442000.0,14659000.0,20092000.0,24973000.0,
CVM,-30255244.0,-36361109.0,-36700681.0,-32194303.0,
CVNA,-171000000.0,-135000000.0,-1587000000.0,450000000.0,
CVR,50450.0,1113472.0,2867629.0,-4401584.0,
CVS,7179000000.0,8001000000.0,4311000000.0,8344000000.0,
CVU,-3654753.0,6820373.0,9176225.0,17201204.0,
CVV,-6074952.0,4747000.0,-224000.0,-4180000.0,
CVX,-5543000000.0,15625000000.0,35465000000.0,21369000000.0,
CW,201392000.0,262829000.0,294348000.0,354509000.0,
CWBC,20347000.0,28401000.0,26645000.0,25536000.0,
CWBR,-16264961.0,-15475776.0,-12175208.0,,
CWEN,25000000.0,51000000.0,582000000.0,79000000.0,
CWH,122345000.0,278461000.0,136947000.0,31044000.0,
CWST,91106000.0,41100000.0,53079000.0,25399000.0,
CWT,96831000.0,101125000.0,96011000.0,51911000.0,
CXW,55338000.0,-51896000.0,122320000.0,67590000.0,
CYAN,,920000.0,2154000.0,-3440000.0,
CYCC,-8445000.0,-18457000.0,-21198000.0,-22555000.0,
CYH,511000000.0,230000000.0,46000000.0,-133000000.0,
CYRX,-32693000.0,-275528000.0,-37333000.0,-99587000.0,
CYTK,-127290000.0,-215314000.0,-388955000.0,-526244000.0,
CZNC,19222000.0,30554000.0,26618000.0,24148000.0,
CZR,-1757000000.0,-1019000000.0,-899000000.0,786000000.0,
CZWI,12725000.0,21266000.0,17761000.0,13059000.0,
D,-401000000.0,3399000000.0,1321000000.0,1994000000.0,
DAIO,-3964000.0,-555000.0,-1120000.0,486000.0,
DAKT,,10926000.0,592000.0,6802000.0,
DAL,-12385000000.0,280000000.0,1318000000.0,4609000000.0,
DAN,-31000000.0,197000000.0,-242000000.0,38000000.0,
DAR,296819000.0,650914000.0,737690000.0,647726000.0,
DARE,-27400743.0,-38696105.0,-30947738.0,-30161391.0,
DBD,-269100000.0,-78800000.0,-581400000.0,,
DBI,,-488719000.0,154481000.0,162676000.0,29062000.0
DBX,-256300000.0,335800000.0,553200000.0,453600000.0,
DCI,257000000.0,286900000.0,332800000.0,358800000.0,
DCO,29174000.0,135536000.0,28789000.0,15928000.0,
DCOM,42318000.0,103996000.0,152556000.0,96094000.0,
DCPH,-266489000.0,-299964000.0,-178931000.0,-194942000.0,
DD,-2951000000.0,6467000000.0,5868000000.0,423000000.0,
DDD,-149594000.0,322052000.0,-122711000.0,,
DDS,,-71654000.0,862473000.0,891637000.0,738847000.0
DE,2751000000.0,5963000000.0,7131000000.0,10166000000.0,
DEA,11961000.0,30058000.0,31474000.0,18804000.0,
DECK,,382575000.0,451949000.0,516822000.0,
DEI,50421000.0,65267000.0,97145000.0,-42706000.0,
DELL,,3250000000.0,5563000000.0,2442000000.0,3211000000.0
DENN,-5116000.0,78073000.0,74712000.0,19945000.0,
DFIN,-25900000.0,145900000.0,102500000.0,82200000.0,
DFS,1141000000.0,5422000000.0,4374000000.0,2940000000.0,
DG,,2655050000.0,2399232000.0,2415989000.0,1661274000.0
DGICA,52815252.0,25254174.0,-1959405.0,4425504.0,
DGII,8411000.0,10366000.0,19383000.0,24770000.0,
DGLY,-2625881.0,25474508.0,-19281691.0,-25688547.0,
DGX,1431000000.0,1995000000.0,946000000.0,854000000.0,
DHI,2373700000.0,4175800000.0,5857500000.0,4745700000.0,
DHIL,38660545.0,74200609.0,40434107.0,42226422.0,
DHR,3646000000.0,6433000000.0,7209000000.0,4764000000.0,
DHX,-30015000.0,-29742000.0,4176000.0,3491000.0,
DIN,-103994000.0,97864000.0,81111000.0,97176000.0,
DIOD,98088000.0,228763000.0,331283000.0,227182000.0,
DIS,-2864000000.0,1995000000.0,3145000000.0,2354000000.0,
DIT,5542590.0,15545265.0,16672257.0,11596393.0,
DJCO,4041000.0,112900000.0,-75624000.0,21452000.0,
DK,-611400000.0,-128300000.0,257100000.0,19800000.0,
DKS,,530251000.0,1519871000.0,1043138000.0,1046519000.0
DLA,-10577000.0,20296000.0,19740000.0,-33213000.0,
DLB,231363000.0,310227000.0,184087000.0,200656000.0,
DLHC,7114000.0,10145000.0,23288000.0,1461000.0,
DLR,356398000.0,1709259000.0,377684000.0,948838000.0,
DLTH,,13577000.0,29702000.0,2304000.0,-9356000.0
DLTR,,1341900000.0,1327900000.0,1615400000.0,-998400000.0
DLX,5244000.0,62633000.0,65395000.0,26120000.0,
DMRC,-32537000.0,-34759000.0,-59798000.0,-45959000.0,
DNLI,71136000.0,-290581000.0,-325991000.0,-145224000.0,
DNOW,-427000000.0,5000000.0,128000000.0,247000000.0,
DOC,413563000.0,505540000.0,500449000.0,306009000.0,
DOCU,,-243267000.0,-69976000.0,-97454000.0,73980000.0
DOMO,,-84634000.0,-102111000.0,-105551000.0,-75569000.0
DOOR,69037000.0,94501000.0,214233000.0,118227000.0,
DORM,106870000.0,131532000.0,121549000.0,129259000.0,
DOV,683451000.0,1123818000.0,1065376000.0,1056828000.0,
DOW,1225000000.0,6311000000.0,4582000000.0,589000000.0,
DPZ,491296000.0,510467000.0,452263000.0,519118000.0,
DRH,-394375000.0,-194584000.0,109328000.0,86340000.0,
DRI,-52400000.0,629300000.0,952800000.0,981900000.0,
DRQ,-30768000.0,-128493000.0,-1624000.0,604000.0,
DRRX,-582000.0,-36265000.0,-35333000.0,-27624000.0,
DSKE,4100000.0,56000000.0,50200000.0,-17700000.0,
DSS,1899000.0,-33119000.0,-59840000.0,-80606000.0,
DTE,1368000000.0,907000000.0,1083000000.0,1397000000.0,
DUK,1377000000.0,3908000000.0,2550000000.0,2841000000.0,
DVA,773642000.0,978450000.0,560400000.0,691535000.0,
DVAX,-75240000.0,76713000.0,293156000.0,-6389000.0,
DVN,-2680000000.0,2813000000.0,6015000000.0,3747000000.0,
DWSN,-13196000.0,-29091000.0,-20451000.0,,
DX,177530000.0,102261000.0,143161000.0,-6130000.0,
DXC,,-149000000.0,718000000.0,-568000000.0,
DXCM,493600000.0,216900000.0,341200000.0,541500000.0,
DXLG,,-64538000.0,56713000.0,89123000.0,27854000.0
DXPE,-29269000.0,16496000.0,48155000.0,68812000.0,
DXYN,-9208000.0,1616000.0,-35079000.0,-2718000.0,
DY,,34337000.0,48574000.0,142213000.0,218923000.0
DZSI,-23082000.0,-34683000.0,-37431000.0,,
EA,,837000000.0,789000000.0,802000000.0,
EAF,434374000.0,388330000.0,382962000.0,0,
EARN,20112000.0,-6309000.0,-30198000.0,4559000.0,
EAT,24400000.0,131600000.0,117600000.0,102600000.0,
EB,-224718000.0,-139080000.0,-55384000.0,-26479000.0,
EBAY,5667000000.0,13608000000.0,-1269000000.0,2767000000.0,
EBF,,24094000.0,28982000.0,47300000.0,
EBMT,21206000.0,14419000.0,10701000.0,10056000.0,
EBS,305800000.0,219500000.0,-211600000.0,-760500000.0,
EBTC,31456000.0,42171000.0,42716000.0,38058000.0,
ECL,-1205100000.0,1129900000.0,1091700000.0,1372300000.0,
ECPG,211848000.0,350782000.0,194564000.0,-206492000.0,
ED,1101000000.0,1346000000.0,1660000000.0,2519000000.0,
EDIT,-115976000.0,-192502000.0,-220432000.0,-153219000.0,
EDUC,,12624000.0,8306800.0,-2504900.0,
EE,38753000.0,41118000.0,26273000.0,30412000.0,
EEFT,-3399000.0,70700000.0,231000000.0,279700000.0,
EEX,-633600000.0,-79700000.0,130800000.0,-8200000.0,
EFC,25008000.0,133463000.0,-70047000.0,84084000.0,
EFOI,-5981000.0,-7886000.0,-10279000.0,-4293000.0,
EFSC,74384000.0,133055000.0,203043000.0,194059000.0,
EFX,520100000.0,744200000.0,696200000.0,545300000.0,
EGAN,7208000.0,6959000.0,-2441000.0,2109000.0,
EGBN,132217000.0,176691000.0,140930000.0,100534000.0,
EGHT,,-165585000.0,-175383000.0,-73143000.0,
EGLE,-35063000.0,184898000.0,248009000.0,22728000.0,
EGP,108363000.0,157557000.0,186182000.0,200491000.0,
EGRX,11989000.0,-8627000.0,35642000.0,,
EGY,-48181000.0,81836000.0,51890000.0,60354000.0,
EHC,284200000.0,412200000.0,271000000.0,352000000.0,
EHTH,45450000.0,-104375000.0,-88722000.0,-28214000.0,
EIG,119800000.0,119300000.0,48400000.0,118100000.0,
EIGR,-65051000.0,-33917000.0,-96776000.0,-74963000.0,
EIX,871000000.0,925000000.0,824000000.0,1407000000.0,
EKSO,-15825000.0,-9764000.0,-15080000.0,-15198000.0,
EL,684000000.0,2870000000.0,2390000000.0,1006000000.0,
ELAN,-574000000.0,-483000000.0,-78000000.0,-1231000000.0,
ELF,,6232000.0,21770000.0,61530000.0,
ELMD,4161000.0,2362000.0,2305000.0,3166000.0,
ELOX,-34577000.0,-66727000.0,-36065000.0,,
ELS,228284000.0,262478000.0,284627000.0,314207000.0,
ELSE,-124000.0,410000.0,100000.0,275000.0,
EME,132943000.0,383532000.0,406122000.0,632994000.0,
EMKR,-7000000.0,25643000.0,-24333000.0,-75359000.0,
EML,5405522.0,9349171.0,12301918.0,8585002.0,
EMN,478000000.0,857000000.0,793000000.0,894000000.0,
EMR,1965000000.0,2303000000.0,3231000000.0,13219000000.0,
ENG,-625000.0,-5685000.0,-18514000.0,-15153000.0,
ENPH,133995000.0,145449000.0,397362000.0,438936000.0,
ENR,-93300000.0,160900000.0,-231500000.0,140500000.0,
ENS,,143374000.0,143911000.0,175810000.0,
ENSG,170478000.0,194652000.0,224681000.0,209399000.0,
ENSV,-2509000.0,-8052000.0,-5575000.0,-8517000.0,
ENTA,-36168000.0,-78996000.0,-121755000.0,-133816000.0,
ENTG,294969000.0,409126000.0,208920000.0,180669000.0,
ENV,-3110000.0,13296000.0,-80939000.0,-238724000.0,
ENVA,377844000.0,256295000.0,207424000.0,175121000.0,
ENZ,-28520000.0,7875000.0,-18261000.0,20288000.0,
EOG,-605000000.0,4664000000.0,7759000000.0,7594000000.0,
EOLS,-163013000.0,-46810000.0,-74412000.0,-61685000.0,
EPAM,327160000.0,481652000.0,419416000.0,417083000.0,
EPC,67600000.0,117800000.0,99500000.0,114700000.0,
EPM,5937072.0,-16438000.0,32628000.0,35217000.0,
EPR,-131728000.0,98606000.0,176229000.0,173046000.0,
EPRT,42273000.0,95725000.0,134130000.0,190707000.0,
EQBK,-74970000.0,52480000.0,57688000.0,7821000.0,
EQC,451294000.0,-16396000.0,37263000.0,91164000.0,
EQH,-648000000.0,1755000000.0,2153000000.0,1302000000.0,
EQIX,369777000.0,500191000.0,704345000.0,969178000.0,
EQR,913636000.0,1332850000.0,776911000.0,835438000.0,
EQT,-958799000.0,-1142747000.0,1770965000.0,1735232000.0,
ERIE,293304000.0,297860000.0,298569000.0,446061000.0,
ERII,26387000.0,14269000.0,24049000.0,21504000.0,
ES,1205167000.0,1220527000.0,1404875000.0,-442240000.0,
ESCA,25934000.0,24405000.0,17989000.0,9829000.0,
ESE,99411000.0,63496000.0,82320000.0,92545000.0,
ESGR,1759000000.0,538000000.0,-870000000.0,1118000000.0,
ESNT,413041000.0,681783000.0,831353000.0,696386000.0,
ESP,1163668.0,-181543.0,1265127.0,3677131.0,
ESPR,-143551000.0,-269108000.0,-233659000.0,-209248000.0,
ESRT,-12515000.0,-6510000.0,40643000.0,53245000.0,
ESS,568870000.0,488554000.0,408315000.0,405825000.0,
ESSA,14416000.0,16424000.0,20070000.0,18576000.0,
ESTC,,-129434000.0,-203848000.0,-236161000.0,
ETN,1410000000.0,2144000000.0,2462000000.0,3218000000.0,
ETR,1406653000.0,1118719000.0,1097138000.0,2362310000.0,
ETRN,423132000.0,-1411820000.0,-269342000.0,445229000.0,
ETSY,349246000.0,493507000.0,-694288000.0,307568000.0,
EVBG,-93396000.0,-94796000.0,-61174000.0,-47305000.0,
EVBN,11246000.0,24043000.0,22389000.0,24524000.0,
EVC,-3910000.0,29292000.0,18119000.0,-15437000.0,
EVER,-11202000.0,-19434000.0,-24416000.0,-51287000.0,
EVFM,-142309000.0,-205192000.0,-76698000.0,52979000.0,
EVH,-334246000.0,-37601000.0,-19164000.0,-113040000.0,
EVI,775000.0,8384000.0,4095000.0,9719000.0,
EVOK,-13154671.0,-8537952.0,-8224130.0,-7792295.0,
EVOL,643000.0,17445000.0,,,
EVR,350574000.0,740116000.0,476520000.0,255479000.0,
EVRG,618300000.0,879700000.0,752700000.0,731300000.0,
EVRI,-81680000.0,152925000.0,120489000.0,83997000.0,
EVTC,104436000.0,161130000.0,239009000.0,79722000.0,
EW,823400000.0,1503100000.0,1521900000.0,1402400000.0,
EWBC,567797000.0,872981000.0,1128083000.0,1161161000.0,
EXAS,-823605000.0,-595625000.0,-623506000.0,-204149000.0,
EXC,1963000000.0,1706000000.0,2170000000.0,2328000000.0,
EXEL,111781000.0,231063000.0,182282000.0,207765000.0,
EXLS,89476000.0,114758000.0,142968000.0,184558000.0,
EXP,,339444000.0,374247000.0,461540000.0,
EXPD,696140000.0,1415492000.0,1357399000.0,752883000.0,
EXPE,-2612000000.0,12000000.0,352000000.0,797000000.0,
EXPI,31131000.0,81220000.0,15442000.0,-8973000.0,
EXPO,82552000.0,101202000.0,102330000.0,100339000.0,
EXPR,,-405449000.0,-14436000.0,293834000.0,
EXR,481779000.0,827649000.0,860688000.0,803198000.0,
EXTR,-126845000.0,1936000.0,44271000.0,78074000.0,
EYE,36277000.0,128244000.0,42122000.0,-65901000.0,
EYPT,-45394000.0,-58417000.0,-102254000.0,-70795000.0,
EZPW,-68463000.0,8612000.0,50160000.0,38463000.0,
F,-1279000000.0,17937000000.0,-1981000000.0,4347000000.0,
FAF,696000000.0,1241100000.0,263000000.0,216800000.0,
FANG,-4517000000.0,2182000000.0,4386000000.0,3143000000.0,
FARM,-37087000.0,-41651000.0,-15661000.0,-79180000.0,
FARO,629000.0,-39964000.0,-26756000.0,-56577000.0,
FAST,859100000.0,925000000.0,1086900000.0,1155000000.0,
FATE,-173387000.0,-212151000.0,-281721000.0,-160928000.0,
FBIO,-46526000.0,-64703000.0,-86575000.0,-60637000.0,
FBIZ,16978000.0,35755000.0,40858000.0,37027000.0,
FBK,63621000.0,190285000.0,124555000.0,120224000.0,
FBMS,52505000.0,64167000.0,62919000.0,75457000.0,
FBNC,81477000.0,95644000.0,146936000.0,104131000.0,
FBP,102273000.0,281025000.0,305072000.0,302864000.0,
FC,-9435000.0,13623000.0,18430000.0,17781000.0,
FCAP,10131000.0,11424000.0,11902000.0,12790000.0,
FCBC,35926000.0,51168000.0,46662000.0,48020000.0,
FCCO,10099000.0,15465000.0,14613000.0,11843000.0,
FCEL,-89107000.0,-101055000.0,-142722000.0,-107568000.0,
FCF,73447000.0,138257000.0,128181000.0,157063000.0,
FCFS,106579000.0,124909000.0,253495000.0,219301000.0,
FCN,210682000.0,234966000.0,235514000.0,274892000.0,
FCNCA,492000000.0,547000000.0,1098000000.0,11466000000.0,
FCPT,77332000.0,85581000.0,97772000.0,95340000.0,
FCX,599000000.0,4306000000.0,3468000000.0,1848000000.0,
FDBC,13035000.0,24008000.0,30021000.0,18210000.0,
FDP,49200000.0,80000000.0,98600000.0,-11400000.0,
FDS,372938000.0,399590000.0,396917000.0,468173000.0,
FDX,1286000000.0,5231000000.0,3826000000.0,3972000000.0,
FE,1079000000.0,1283000000.0,406000000.0,1102000000.0,
FEIM,,680000.0,-8663000.0,-5501000.0,
FELE,100460000.0,153860000.0,187332000.0,193272000.0,
FET,-96889000.0,-82651000.0,3712000.0,-18876000.0,
FF,46564000.0,26255000.0,15211000.0,37382000.0,
FFBC,155810000.0,205160000.0,217612000.0,255863000.0,
FFIC,34674000.0,81793000.0,76945000.0,28664000.0,
FFIN,202034000.0,227562000.0,234475000.0,198977000.0,
FFIV,307441000.0,331241000.0,322160000.0,394948000.0,
FFNW,8556000.0,12249000.0,13240000.0,6305000.0,
FFWM,84369000.0,109511000.0,110512000.0,-199064000.0,
FGBI,20318000.0,27297000.0,28884000.0,9219000.0,
FGEN,-189291000.0,-290023000.0,-293654000.0,-284232000.0,
FHB,185754000.0,265735000.0,265685000.0,234983000.0,
FHN,845000000.0,999000000.0,900000000.0,897000000.0,
FI,958000000.0,1334000000.0,2530000000.0,3068000000.0,
FIBK,161200000.0,192100000.0,202200000.0,257500000.0,
FICO,236411000.0,392084000.0,373541000.0,429375000.0,
FIS,158000000.0,417000000.0,-16720000000.0,-6654000000.0,
FISI,38332000.0,77697000.0,56573000.0,50264000.0,
FITB,1427000000.0,2770000000.0,2446000000.0,2349000000.0,
FIVE,,123361000.0,278810000.0,261528000.0,301106000.0
FIVN,-42130000.0,-53000000.0,-94650000.0,-81764000.0,
FIX,150139000.0,143348000.0,245947000.0,323398000.0,
FIXX,-128694000.0,-95764000.0,-5005000.0,-112961000.0,
FIZZ,,174146000.0,158512000.0,142164000.0,
FL,,323000000.0,893000000.0,342000000.0,-330000000.0
FLIC,41203000.0,43089000.0,46932000.0,26239000.0,
FLL,147000.0,11706000.0,-14804000.0,-24904000.0,
FLNT,2207000.0,-10059000.0,-123332000.0,-63218000.0,
FLO,152318000.0,206187000.0,228394000.0,123416000.0,
FLR,-435046000.0,-440000000.0,145000000.0,139000000.0,
FLS,130420000.0,125949000.0,188689000.0,186743000.0,
FLT,704216000.0,839497000.0,954327000.0,981890000.0,
